,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_type,params_od_wait,params_random_strength,params_subsample,state
0,0,0.28421777777777774,2025-06-26 12:41:30.606483,2025-06-26 12:41:53.945057,0 days 00:00:23.338574,6.2001779991879726e-06,MVS,0.20796318656065466,6,3.3148341382083104,0.006207107247569148,98,IncToDec,39,0.883144702535295,0.09138419995630612,COMPLETE
1,1,0.28864,2025-06-26 12:41:53.946492,2025-06-26 12:42:06.521650,0 days 00:00:12.575158,0.00035495333274965213,MVS,0.378895932221675,6,1.7652891555296786,0.059774504825516134,56,Iter,14,0.0678417635387436,0.1886730423158563,COMPLETE
2,2,0.2804088888888889,2025-06-26 12:42:06.522839,2025-06-26 12:42:37.332264,0 days 00:00:30.809425,5.030022644213864e-06,Bayesian,0.7477621958654624,7,3.8077356838637604,0.0035048113780663617,26,Iter,22,0.563687539524252,0.1679483773988487,COMPLETE
3,3,0.2866888888888888,2025-06-26 12:42:37.333617,2025-06-26 12:42:51.808092,0 days 00:00:14.474475,7.718578327462994e-05,Bernoulli,0.6160364572093902,6,1.958968637971008,0.23386744982122018,7,Iter,32,0.7222337322806531,0.9740025041452954,COMPLETE
4,4,0.28589777777777775,2025-06-26 12:42:51.809299,2025-06-26 12:43:05.435052,0 days 00:00:13.625753,5.460565689423071e-09,Bayesian,0.5244623512142426,4,3.9214817930319734,0.2145703409285318,56,IncToDec,31,0.26984263977959355,0.6528984606629881,COMPLETE
5,5,0.2801022222222222,2025-06-26 12:43:05.435909,2025-06-26 12:43:28.011599,0 days 00:00:22.575690,3.597479721763355e-07,Bernoulli,0.7968284287240831,4,1.0249614918876224,0.002113719147378424,45,IncToDec,32,0.9553915219915697,0.36922533183654416,COMPLETE
6,6,0.28194222222222226,2025-06-26 12:43:28.012555,2025-06-26 12:43:54.511268,0 days 00:00:26.498713,6.091632367989837,MVS,0.7930763409455063,4,3.2262570116716667,0.007383225548039623,96,IncToDec,10,0.7234098481621414,0.5810277158986696,COMPLETE
7,7,0.28750666666666663,2025-06-26 12:43:54.512157,2025-06-26 12:44:26.972820,0 days 00:00:32.460663,5.0141603332432515e-09,Bayesian,0.3907675676027332,5,2.107896005067556,0.0548995737881301,49,IncToDec,48,0.36476663338200876,0.42523428300105787,COMPLETE
8,8,0.2853333333333333,2025-06-26 12:44:26.973638,2025-06-26 12:44:56.032966,0 days 00:00:29.059328,0.1261465456556975,MVS,0.5983215674295758,6,1.2099232990564175,0.008301119183150048,31,IncToDec,14,0.490215942025346,0.19377895979047943,COMPLETE
9,9,0.2801777777777778,2025-06-26 12:44:56.033972,2025-06-26 12:45:29.603381,0 days 00:00:33.569409,0.007720119488315987,MVS,0.7046784267509768,9,1.5300473589931054,0.0012438477203833424,83,IncToDec,27,0.9197402509078307,0.16483604054753825,COMPLETE
10,10,0.2852222222222222,2025-06-26 12:45:29.604233,2025-06-26 12:45:39.501963,0 days 00:00:09.897730,0.00030123684125072455,MVS,0.5245319230529877,5,2.0538607718842314,0.09826607669127363,72,Iter,19,0.043685281023554505,0.15420578518876235,COMPLETE
11,11,0.28741777777777777,2025-06-26 12:45:39.502800,2025-06-26 12:46:14.135455,0 days 00:00:34.632655,2.9600483445277244e-09,Bayesian,0.3972848717376405,7,1.317125137274358,0.06910072754232505,54,IncToDec,47,0.31818098972345976,0.606344760632378,COMPLETE
12,12,0.28404888888888885,2025-06-26 12:46:14.136448,2025-06-26 12:46:18.886675,0 days 00:00:04.750227,0.06719415859825952,Bayesian,0.14568271201868888,7,1.2281604076002945,0.23443067821034913,56,Iter,12,0.19158281300065388,0.11719526659574343,COMPLETE
13,13,0.28673333333333334,2025-06-26 12:46:18.887495,2025-06-26 12:46:43.069865,0 days 00:00:24.182370,6.326164936646851e-08,Bayesian,0.39345751975096177,3,2.7667786919704183,0.07267201029809955,2,IncToDec,45,0.3233097077691389,0.2409040242968412,COMPLETE
14,14,0.2868622222222222,2025-06-26 12:46:43.070775,2025-06-26 12:47:10.498254,0 days 00:00:27.427479,3.500059913267833e-09,Bayesian,0.27275825327040903,4,2.9588539299369856,0.02789929644540657,79,Iter,50,0.2168648194417186,0.435301195891857,COMPLETE
15,15,0.2878933333333333,2025-06-26 12:47:10.499087,2025-06-26 12:47:48.503375,0 days 00:00:38.004288,8.616207287104098e-05,MVS,0.4128309344978989,7,2.662553443489604,0.016273312533793247,15,Iter,29,0.15173916835323714,0.4133841246599239,COMPLETE
16,16,0.2874977777777778,2025-06-26 12:47:48.504416,2025-06-26 12:48:22.954710,0 days 00:00:34.450294,3.407883588835695e-08,MVS,0.33677571175023396,7,2.4269735718083076,0.013895074362176971,18,Iter,24,0.17890596404695353,0.5452592327373569,COMPLETE
17,17,0.28756444444444446,2025-06-26 12:48:22.955631,2025-06-26 12:48:35.739232,0 days 00:00:12.783601,0.00030658583835541987,MVS,0.5584651657233021,7,2.944914657430673,0.17773264136693157,15,Iter,38,0.1816751715830634,0.4177367592068833,COMPLETE
18,18,0.2859422222222222,2025-06-26 12:48:35.740256,2025-06-26 12:48:50.813777,0 days 00:00:15.073521,6.4599789270089035e-06,MVS,0.30982364347758395,5,1.5476562932043851,0.07492619447916601,49,IncToDec,15,0.36079152696897543,0.48676161456304984,COMPLETE
19,19,0.2862311111111111,2025-06-26 12:48:50.814579,2025-06-26 12:49:18.987303,0 days 00:00:28.172724,0.04482970221702772,Bayesian,0.22444438000758257,6,2.5588562831010657,0.007847962562602215,18,Iter,34,0.12231352746617617,0.6540247484359489,COMPLETE
20,20,0.2856444444444444,2025-06-26 12:49:18.988183,2025-06-26 12:50:19.841536,0 days 00:01:00.853353,0.0003049017661559624,MVS,0.539018365792937,10,2.2506341546370914,0.002490233597744377,21,Iter,39,0.1569938162262112,0.4037680294058112,COMPLETE
21,21,0.2885244444444444,2025-06-26 12:50:19.842494,2025-06-26 12:50:47.277402,0 days 00:00:27.434908,0.00045311908760252233,MVS,0.6127429376707545,4,4.645720816806793,0.04966280347966698,25,Iter,30,0.31197139921341366,0.6057238124308177,COMPLETE
22,22,0.2869333333333333,2025-06-26 12:50:47.278325,2025-06-26 12:51:15.183643,0 days 00:00:27.905318,0.0007498728673823766,MVS,0.5975073497294088,3,2.716847943955667,0.015895615295780825,17,Iter,30,0.3832515429445165,0.9005168318122931,COMPLETE
23,23,0.2888133333333333,2025-06-26 12:51:15.184589,2025-06-26 12:51:39.493575,0 days 00:00:24.308986,7.288020515539088e-08,MVS,0.5926957723811817,4,4.766559364637123,0.04476000612946517,31,Iter,18,0.048244045339864594,0.7219883327942651,COMPLETE
24,24,0.28687999999999997,2025-06-26 12:51:39.494772,2025-06-26 12:52:03.727379,0 days 00:00:24.232607,7.531377863534551e-08,MVS,0.6254498179847321,4,4.140488789723247,0.035182816707718306,52,IncToDec,14,0.0076975006101902416,0.6908255873181347,COMPLETE
25,25,0.28805333333333333,2025-06-26 12:52:03.728338,2025-06-26 12:52:26.769965,0 days 00:00:23.041627,0.2724413019249582,MVS,0.6159074253228566,4,4.684193209682405,0.04637319178902088,9,IncToDec,26,0.37166284278751277,0.42099053660821456,COMPLETE
26,26,0.28717333333333334,2025-06-26 12:52:26.770891,2025-06-26 12:53:02.420058,0 days 00:00:35.649167,3.5837949650105145e-09,Bayesian,0.6904437784694604,5,3.654870502572405,0.008868702216900797,17,Iter,20,0.162058670069428,0.7100862159073762,COMPLETE
27,27,0.28809333333333337,2025-06-26 12:53:02.421111,2025-06-26 12:53:15.071389,0 days 00:00:12.650278,8.250361552173919e-07,MVS,0.766831228720642,4,4.15773422724691,0.10154675804326323,24,Iter,16,0.10202051057351319,0.5795536266643171,COMPLETE
